Source_ID,File_Name,Topic,Population,Care_Setting
SRC-104,Medication_safety_016.txt,Medication_safety,"general, adult, child","hospital, primary_care, community"
SRC-105,Medication_safety_004.txt,Medication_safety,"general, child, pregnant","community, primary_care"
SRC-106,Medication_safety_002.txt,Medication_safety,"general, adult, child, pregnant","primary_care, community, home"
SRC-107,Medication_safety_005.txt,Medication_safety,general,"community, primary_care, hospital"
SRC-108,Medication_safety_010.txt,Medication_safety,"general, adult","primary_care, hospital, community"
SRC-110,Nutrition_001.txt,Nutrition,"adult, infant, pregnant","home, school, community"
SRC-111,Nutrition_010.txt,Nutrition,"general, adult, child","home, primary_care, community"
SRC-112,Mental_health_basics_001.txt,Mental_health_basics,general,"community, primary_care"
SRC-113,Infectious_diseases_001.txt,Infectious_diseases,general,"community, primary_care"
SRC-114,Infectious_diseases_004.txt,Infectious_diseases,"general, child","community, primary_care"
SRC-115,Infectious_diseases_009.txt,Infectious_diseases,"General population; children, people with HIV","community, primary_care"
